Date,Price,Open,High,Low,Change %
21-Apr-20,1691.30,1691.13,1697.93,1661.20,-0.17%
20-Apr-20,1694.11,1692.25,1703.46,1671.49,0.56%
17-Apr-20,1684.69,1715.99,1719.12,1679.37,-1.96%
16-Apr-20,1718.40,1716.46,1739.17,1707.88,0.11%
15-Apr-20,1716.60,1728.80,1732.27,1707.71,-0.76%
14-Apr-20,1729.70,1712.34,1747.85,1708.55,0.90%
13-Apr-20,1714.32,1685.69,1723.88,1674.87,1.45%
10-Apr-20,1689.90,1676.00,1697.50,1676.00,0.35%
9-Apr-20,1684.07,1646.08,1691.17,1643.10,2.28%
8-Apr-20,1646.52,1647.59,1657.69,1641.94,-0.15%
7-Apr-20,1648.95,1663.03,1673.55,1641.89,-0.85%
6-Apr-20,1663.00,1597.50,1669.97,1597.50,2.75%
3-Apr-20,1618.45,1615.09,1626.07,1606.30,0.29%
2-Apr-20,1613.79,1590.52,1621.15,1579.04,1.18%
1-Apr-20,1595.05,1571.00,1603.41,1566.97,1.51%
31-Mar-20,1571.31,1618.49,1626.27,1566.23,-3.20%
30-Mar-20,1623.30,1622.00,1639.61,1608.72,-0.01%
27-Mar-20,1623.50,1632.38,1637.86,1612.22,-0.54%
26-Mar-20,1632.39,1617.25,1647.28,1595.84,1.15%
25-Mar-20,1613.79,1628.19,1643.05,1587.20,-0.51%
24-Mar-20,1622.03,1553.71,1638.72,1553.41,4.39%
23-Mar-20,1553.81,1508.15,1561.48,1485.10,3.71%
20-Mar-20,1498.24,1470.54,1516.25,1460.30,1.85%
19-Mar-20,1471.00,1485.90,1501.05,1464.18,-1.03%
18-Mar-20,1486.30,1527.70,1546.22,1472.86,-2.77%
17-Mar-20,1528.57,1512.45,1553.26,1465.81,0.92%
16-Mar-20,1514.61,1550.55,1573.49,1451.50,-0.99%
13-Mar-20,1529.70,1576.95,1597.72,1506.86,-3.00%
12-Mar-20,1577.08,1634.80,1650.47,1561.01,-3.54%
11-Mar-20,1635.03,1649.69,1671.13,1632.97,-0.87%
10-Mar-20,1649.36,1679.10,1680.53,1642.15,-1.84%
9-Mar-20,1680.20,1694.40,1702.96,1657.74,0.36%
6-Mar-20,1674.23,1670.58,1692.10,1648.12,0.22%
5-Mar-20,1670.61,1635.91,1674.69,1635.07,2.13%
4-Mar-20,1635.83,1639.76,1651.65,1632.06,-0.24%
3-Mar-20,1639.77,1590.77,1649.55,1587.86,3.08%
2-Mar-20,1590.73,1591.10,1611.03,1579.70,0.35%
